M,N,C,D,T,seed,formulation,mipgap,runtime,bnbcnt,objval_LP,objbnd,objval
5,2,3,10,2,7,TEOR,0.04137970886,10801.17366,20929,851.5869135,896.5056839,935.2041597
5,2,3,10,2,8,TEOC,7.31E-05,6033.573765,6895,926.82347,930.0039909,930.0719734
5,2,3,10,2,8,TEOM,0.0690496652,10806.16616,20550,609.5251878,868.0534608,932.437992
5,2,3,10,2,8,TEOR,0.03847050585,10800.63493,20942,845.8995906,896.7551207,932.6340234
5,2,3,10,2,9,TEOC,0.0009414194472,10800.8921,10007,929.6435096,933.2410595,934.1204587
5,2,3,10,2,9,TEOM,0.09082401257,10808.1602,20593,617.0526197,852.5270794,937.6920323
5,2,3,10,2,9,TEOR,0.03690397755,10800.85227,20983,860.8869907,902.8032724,937.3969483
5,2,3,10,2,10,TEOC,8.97E-05,7445.265505,17806,924.7082282,927.9836343,928.0668605
5,2,3,10,2,10,TEOM,0.09234208679,10800.17984,39624,612.2871817,845.5695728,931.594999
5,2,3,10,2,10,TEOR,0.03562839461,10800.16696,21003,847.7873008,896.7402541,929.8700305
5,2,2,6,20,1,TEOC,0,2117.666322,20945,298.3958117,300.2221349,300.2221349
5,2,2,6,20,1,TEOM,2.29E-08,5549.202982,94594,250.9171868,300.22213,300.2221369
5,2,2,6,20,1,TEOR,0,2484.958261,35874,296.9132404,300.2221369,300.2221369
5,2,2,6,20,2,TEOC,0,5950.032916,97878,298.9698096,301.2213542,301.2213542
5,2,2,6,20,2,TEOM,0.002651966013,10800.07036,220420,252.9863866,300.4225193,301.221348
5,2,2,6,20,2,TEOR,0.001340092676,10800.10003,228365,297.3455766,300.8176563,301.2213208
5,2,2,6,20,3,TEOC,0,2330.056744,29990,298.9517616,300.9152698,300.9152698
5,2,2,6,20,3,TEOM,1.15E-07,8704.780317,35204,252.8704022,300.9152445,300.9152792
5,2,2,6,20,3,TEOR,0,2991.37063,26035,296.6631072,300.9152762,300.9152762
5,2,2,6,20,4,TEOC,4.44E-09,2200.412772,38001,298.4315438,300.2757501,300.2757515
5,2,2,6,20,4,TEOM,2.15E-08,5274.045375,54652,253.0526347,300.275745,300.2757515
5,2,2,6,20,4,TEOR,6.81E-08,2798.391133,34419,296.8299,300.275731,300.2757515
5,2,2,6,20,5,TEOC,1.78E-08,1795.151863,31878,298.943073,300.8661376,300.8661429
5,2,2,6,20,5,TEOM,4.55E-06,5693.410512,101392,253.8311629,300.8647736,300.8661429
5,2,2,6,20,5,TEOR,1.87E-08,4412.668183,47603,296.3814785,300.8661373,300.8661429
5,2,2,6,20,6,TEOC,4.53E-05,4418.102091,60933,298.8983411,300.8986196,300.9122637
5,2,2,6,20,6,TEOM,0.001019665169,10800.1346,265554,251.6031058,300.6054299,300.9122597
5,2,2,6,20,6,TEOR,1.33E-08,5598.442658,60907,296.3690805,300.9122597,300.9122637
5,2,2,6,20,7,TEOC,0,1227.00239,26620,297.8367523,299.9223381,299.9223381
5,2,2,6,20,7,TEOM,2.30E-08,6872.413229,80290,251.4596688,299.9223535,299.9223604
5,2,2,6,20,7,TEOR,2.32E-08,4259.842124,38132,296.0901401,299.9223535,299.9223604
5,2,2,6,20,8,TEOC,0,973.3902979,24885,298.7986426,300.2146526,300.2146526
5,2,2,6,20,8,TEOM,4.57E-08,5544.441561,77753,252.9104327,300.21464,300.2146537
5,2,2,6,20,8,TEOR,0,3830.800149,28351,296.4233363,300.214646,300.214646
5,2,2,6,20,9,TEOC,0,2780.900453,28463,299.2444173,301.3173441,301.3173441
5,2,2,6,20,9,TEOM,6.15E-09,5525.335761,61411,251.4258001,301.3173566,301.3173585
5,2,2,6,20,9,TEOR,0,2991.27142,54005,296.5269077,301.3173585,301.3173585
5,2,2,6,20,10,TEOC,0,2988.435412,73849,299.101564,301.5959646,301.5959646
5,2,2,6,20,10,TEOM,0,5946.210121,165775,249.2355628,301.5959646,301.5959646
5,2,2,6,20,10,TEOR,5.11E-09,3490.188656,74014,296.9009445,301.595963,301.5959646
5,2,3,6,20,1,TEOC,0,292.2520061,125,899.6175901,903.3457215,903.3457215
5,2,3,6,20,1,TEOM,0,1109.662225,7524,674.0290637,903.3457213,903.3457213
5,2,3,6,20,1,TEOR,0,216.9028339,1825,892.6190924,903.3457215,903.3457215
