varindex,treeid,nodeid,pred,splitvar1,splitval1,splitvar,splitval,vartype,sol
217,0,0,0.0,2,13,2,0.053686,x,-0.0
218,0,0,0.0,2,14,2,0.0663083,x,-0.0
219,0,0,0.0,2,15,2,0.0664741,x,-0.0
220,0,0,0.0,2,16,2,0.0677707,x,-0.0
221,0,0,0.0,2,17,2,0.0726721,x,-0.0
222,0,0,0.0,2,18,2,0.0750056,x,-0.0
223,0,0,0.0,2,19,2,0.0824461,x,-0.0
224,0,0,0.0,3,1,3,0.00515507,x,-0.0
225,0,0,0.0,3,2,3,0.0164474,x,1.0
226,0,0,0.0,3,3,3,0.0191423,x,1.0
227,0,0,0.0,3,4,3,0.0328852,x,1.0
228,0,0,0.0,3,5,3,0.0355896,x,1.0
229,0,0,0.0,3,6,3,0.0391969,x,1.0
230,0,0,0.0,3,7,3,0.0512677,x,1.0
231,0,0,0.0,4,1,4,0.06601,x,0.0
232,0,0,0.0,4,2,4,0.0675697,x,-0.0
233,0,0,0.0,4,3,4,0.0686715,x,-0.0
234,0,0,0.0,4,4,4,0.0692863,x,1.0
235,0,0,0.0,4,5,4,0.0706737,x,1.0
236,0,0,0.0,4,6,4,0.070707,x,1.0
237,0,0,0.0,4,7,4,0.072322,x,1.0
238,0,0,0.0,4,8,4,0.0739049,x,1.0
239,0,0,0.0,4,9,4,0.0749429,x,1.0
240,0,0,0.0,4,10,4,0.0750496,x,1.0
241,0,0,0.0,4,11,4,0.0753264,x,1.0
242,0,0,0.0,4,12,4,0.076486,x,1.0
243,0,0,0.0,4,13,4,0.0764949,x,1.0
244,0,0,0.0,4,14,4,0.0765004,x,1.0
245,0,0,0.0,4,15,4,0.0765232,x,1.0
246,0,0,0.0,4,16,4,0.0779665,x,1.0
247,0,0,0.0,4,17,4,0.0779819,x,1.0
248,0,0,0.0,4,18,4,0.0780981,x,1.0
249,0,0,0.0,4,19,4,0.0786344,x,1.0
250,0,0,0.0,4,20,4,0.0819238,x,1.0
251,0,0,0.0,4,21,4,0.0839642,x,1.0
252,0,0,0.0,5,1,5,0.000513242,x,-0.0
253,0,0,0.0,5,2,5,0.000614578,x,-0.0
254,0,0,0.0,5,3,5,0.0026064,x,-0.0
255,0,0,0.0,5,4,5,0.00286606,x,-0.0
256,0,0,0.0,5,5,5,0.00328973,x,-0.0
257,0,0,0.0,5,6,5,0.00343349,x,-0.0
258,0,0,0.0,5,7,5,0.00363729,x,-0.0
259,0,0,0.0,5,8,5,0.00398455,x,-0.0
260,0,0,0.0,5,9,5,0.00458574,x,-0.0
261,0,0,0.0,5,10,5,0.00480326,x,1.0
262,0,0,0.0,6,1,6,0.388803,x,-0.0
263,0,0,0.0,6,2,6,0.389354,x,1.0
264,0,0,0.0,6,3,6,0.406814,x,1.0
265,0,0,0.0,6,4,6,0.410213,x,1.0
266,0,0,0.0,6,5,6,0.423354,x,1.0
267,0,0,0.0,6,6,6,0.440688,x,1.0
268,0,0,0.0,6,7,6,0.446518,x,1.0
269,0,0,0.0,7,1,7,0.28032,x,-0.0
270,0,0,0.0,7,2,7,0.296191,x,-0.0
271,0,0,0.0,7,3,7,0.298563,x,-0.0
272,0,0,0.0,7,4,7,0.306014,x,-0.0
273,0,0,0.0,7,5,7,0.309417,x,-0.0
274,0,0,0.0,7,6,7,0.309523,x,-0.0
275,0,0,0.0,7,7,7,0.310494,x,-0.0
276,0,0,0.0,7,8,7,0.321472,x,0.0
277,0,0,0.0,7,9,7,0.330622,x,-0.0
278,0,0,0.0,7,10,7,0.332078,x,-0.0
279,0,0,0.0,7,11,7,0.332584,x,-0.0
280,0,0,0.0,7,12,7,0.334049,x,1.0
281,0,0,0.0,7,13,7,0.335661,x,1.0
282,0,0,0.0,7,14,7,0.336091,x,1.0
283,0,0,0.0,7,15,7,0.33736,x,1.0
284,0,0,0.0,7,16,7,0.343483,x,1.0
285,0,0,0.0,7,17,7,0.343691,x,1.0
286,0,0,0.0,7,18,7,0.386578,x,1.0
287,0,0,0.0,8,1,8,5.0,x,-0.0
288,0,0,0.0,8,2,8,10.5,x,-0.0
289,0,0,0.0,8,3,8,21.0,x,-0.0
290,0,0,0.0,8,4,8,42.0,x,-0.0
291,0,0,0.0,8,5,8,73.0,x,-0.0
292,0,0,0.0,8,6,8,78.0,x,-0.0
